name,price,url
100% Dark Hot Chocolate Flakes,£9.95,/products/100-dark-hot-chocolate-flakes
2.5kg Bulk 41% Milk Hot Chocolate Drops,"<span class=""price price--highlight"">
              <span class=""visually-hidden"">Sale price£36.00",/products/2-5kg-bulk-of-our-41-milk-hot-chocolate-drops
2.5kg Bulk 61% Dark Hot Chocolate Drops,£45.00,/products/2-5kg-of-our-best-selling-61-dark-hot-chocolate-drops
41% Milk Hot Chocolate Drops,£8.75,/products/41-colombian-milk-hot-chocolate-drops
61% Dark Hot Chocolate Drops,"<span class=""price price--highlight"">
              <span class=""visually-hidden"">Sale price£5.00",/products/62-dark-hot-chocolate
70% Dark Hot Chocolate Flakes,£9.95,/products/70-dark-hot-chocolate-flakes
Almost Perfect,"From £1.50
",/products/almost-perfect
Assorted Chocolate Malt Balls,£9.00,/products/assorted-chocolate-malt-balls
Blonde Caramel,"<span class=""price price--highlight"">
              <span class=""visually-hidden"">Sale price£2.50",/products/blonde-caramel-chocolate-bar
Blonde Chocolate Honeycomb,£9.00,/products/blonde-chocolate-honeycomb
Blonde Chocolate Honeycomb - Bag,£8.50,/products/blonde-chocolate-sea-salt-honeycomb
Blonde Chocolate Malt Balls,"<span class=""price price--highlight"">
              <span class=""visually-hidden"">Sale price£6.50",/products/blonde-chocolate-malt-balls
Blonde Chocolate Truffles,£19.95,/products/blonde-chocolate-truffles
Blonde Hot Chocolate Flakes,"<span class=""price price--highlight"">
              <span class=""visually-hidden"">Sale price£6.50",/products/blonde-hot-chocolate-flakes
Bulk 41% Milk Hot Chocolate Drops 750 grams,"<span class=""price price--highlight"">
              <span class=""visually-hidden"">Sale price£12.00",/products/bulk-41-milk-hot-chocolate-drops-750-grams
Bulk 61% Dark Hot Chocolate Drops 750 grams,"<span class=""price price--highlight"">
              <span class=""visually-hidden"">Sale price£12.00",/products/750-gram-bulk-61-dark-hot-chocolate-drops
Caramelised Milk,"<span class=""price price--highlight"">
              <span class=""visually-hidden"">Sale price£3.00",/products/caramelised-milk-chocolate-bar
Chocolate Caramelised Pecan Nuts,"<span class=""price price--highlight"">
              <span class=""visually-hidden"">Sale price£5.00",/products/chocolate-caramelised-pecan-nuts
Chocolate Celebration Hamper,£55.00,/products/celebration-hamper
Christmas Truffle Selection,"<span class=""price price--highlight"">
              <span class=""visually-hidden"">Sale price£8.00",/products/pre-order-christmas-truffle-selection
Cinnamon Toast,£5.00,/products/cinnamon-toast-chocolate-bar
Collection of 4 of our Best Selling Chocolate Malt Balls,"<span class=""price price--highlight"">
              <span class=""visually-hidden"">Sale price£24.00",/products/collection-of-our-best-selling-chocolate-malt-balls
Colombia 61%,£5.00,/products/colombian-dark-chocolate-bar
Colombian 41%,"<span class=""price price--highlight"">
              <span class=""visually-hidden"">Sale price£2.00",/products/ecuadorian-41-milk-chocolate-bar
Crunchy Biscuit,"<span class=""price price--highlight"">
              <span class=""visually-hidden"">Sale price£2.50",/products/crunchy-biscuit-blonde-chocolate-bar
Dark Chocolate Ginger,£8.95,/products/dark-chocolate-ginger
Dark Chocolate Honeycomb,£9.00,/products/dark-chocolate-honeycomb-1
Dark Chocolate Honeycomb - Bag,£8.50,/products/dark-chocolate-honeycomb
Dark Chocolate Malt Balls,£9.00,/products/dark-chocolate-malt-balls
Dark Chocolate Orange Peel,£8.95,/products/dark-chocolate-orange-peel
Dark Chocolate Truffles,£19.95,/products/dark-chocolate-truffles
Flat White Coffee,"<span class=""price price--highlight"">
              <span class=""visually-hidden"">Sale price£3.50",/products/flat-white-coffee
Gift Voucher,"From £10.00
",/products/gift-voucher
Ginger Biscuit,"<span class=""price price--highlight"">
              <span class=""visually-hidden"">Sale price£3.00",/products/ginger-biscuit-chocolate-bar
Honeycomb Crunch,£5.00,/products/honeycomb-crunch
Hot Chocolate Shaker,"<span class=""price price--highlight"">
                <span class=""visually-hidden"">Sale priceFrom £18.00",/products/hot-chocolate-shaker-new
January Box of the Month,"<span class=""price"">
                <span class=""visually-hidden"">Sale priceFrom £30.00",/products/box-of-the-month-subscription-1
Luxury Chocolate Hamper,£85.00,/products/luxury-chocolate-hamper
Luxury Chocolate Hamper with bottle of Champagne,"<span class=""price price--highlight"">
              <span class=""visually-hidden"">Sale price£80.00",/products/copy-of-luxury-chocolate-hamper
Luxury Hot Chocolate Hamper,"<span class=""price price--highlight"">
              <span class=""visually-hidden"">Sale price£50.00",/products/luxury-hot-chocolate-hamper
Marc De Champagne Truffles,"<span class=""price price--highlight"">
              <span class=""visually-hidden"">Sale price£11.50",/products/marc-de-champagne-truffles
Marmalade,£5.00,/products/marmalade-orange-chocolate-bar
Milk Chocolate Honeycomb,£9.00,/products/milk-chocolate-honeycomb-2
Milk Chocolate Honeycomb - Bag,"<span class=""price price--highlight"">
              <span class=""visually-hidden"">Sale price£5.00",/products/milk-chocolate-honeycomb
Milk Chocolate Malt Balls,£9.00,/products/milk-chocolate-malt-balls
Milk Chocolate Truffles,£19.95,/products/milk-chocolate-truffles
Mint Creams,"<span class=""price price--highlight"">
              <span class=""visually-hidden"">Sale price£12.00",/products/mint-creams
Oat M!lk Hot Chocolate Flakes,"<span class=""price price--highlight"">
              <span class=""visually-hidden"">Sale price£6.00",/products/oat-m-lk-hot-chocolate-flakes
Orange Dark Hot Chocolate Flakes,£9.95,/products/orange-dark-hot-chocolate-flakes
Orange Malt Balls,£9.00,/products/orange-malt-balls
Peppermint Malt Balls,"<span class=""price price--highlight"">
              <span class=""visually-hidden"">Sale price£6.50",/products/peppermint-malt-balls
Peppermint Swirl,£5.00,/products/peppermint-swirl-chocolate-bar
Pistachio & Cranberry,£5.00,/products/pistachio-cranberry-chocolate-bar
Pretzel Caramel,£5.00,/products/pretzel-caramel-chocolate-bar
Roasted Almonds,"<span class=""price price--highlight"">
              <span class=""visually-hidden"">Sale price£5.00",/products/cocoa-dusted-almonds
Rose & Violet Creams,"<span class=""price price--highlight"">
              <span class=""visually-hidden"">Sale price£12.95",/products/rose-violet-creams
Salt Caramel Malt Balls,"<span class=""price price--highlight"">
              <span class=""visually-hidden"">Sale price£6.50",/products/salt-caramel-malt-balls
Salt Caramelised Hazelnuts,"<span class=""price price--highlight"">
              <span class=""visually-hidden"">Sale price£4.75",/products/salt-caramelised-hazelnuts
Salted Caramel,£5.00,/products/blonde-chocolate-sea-salt
Salted Caramel Florentines,"<span class=""price price--highlight"">
              <span class=""visually-hidden"">Sale price£9.00",/products/salted-caramel-florentines
Salted Caramels Blonde Chocolate,£19.95,/products/salted-caramels-blonde-chocolate
Salted Caramels Dark Chocolate,£19.95,/products/salt-caramels-dark-chocolate
Salted Caramels Milk Chocolate,"<span class=""price price--highlight"">
              <span class=""visually-hidden"">Sale price£12.50",/products/salt-caramels-milk-chocolate
Valrhona Araguani - 72%,£77.50,/products/valrhona-araguani-72
Valrhona Bahibe 46%,£75.00,/products/valrhona-bahibe
Valrhona Biskelia 34%,£75.00,/products/valrhona-biskelia-34
Valrhona Caraibe 66%,"From £27.50
",/products/valrhona-caraibe-66
Valrhona Caramelia 36%,£75.00,/products/valrhona-caramelia-36
Valrhona Dulcey 32%,"From £29.50
",/products/valrhona-dulcey-32
Valrhona Guanaja 70%,"From £29.50
",/products/valrhona-guanaja-70
Valrhona Jivara 40%,"From £29.50
",/products/valrhona-jivara-40
Valrhona Manjari 64%,£75.00,/products/valrhona-manjari-64
Valrhona Opalys 33%,£75.00,/products/valrhona-opalys-33
Velvet White,£5.00,/products/velvet-white-chocolate-bar
